Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full
"ALI, Mr Ahmed",Dead,Southampton,3,Man,24,Adult,Male,7.05,3101311,,General Labourer,3rd Class Passenger,3
"ALI, Mr William",Dead,Southampton,3,Man,25,Adult,Male,7.05,3101312,[79],General Labourer,3rd Class Passenger,3
"ALLARIA, Sig. Battista Antonio",Dead,Southampton,Crew,Man,22,Adult,Male,,,[221],Assistant Waiter,Restaurant Staff,R
"ALLEN, Miss Elisabeth Walton",Alive,Southampton,1,Woman,29,Adult,Female,211.3375,24160,2,,1st Class Passenger,1
"ALLEN, Mr Ernest Frederick",Alive,Southampton,Crew,Man,24,Adult,Male,,,B,Trimmer,Engineering Crew,E
"ALLEN, Mr Frederick",Dead,Southampton,Crew,Man,17,Adult,Male,,,,Lift Steward,Victualling Crew,V
"ALLEN, Mr George",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Scullion,Victualling Crew,V
"ALLEN, Mr Henry",Dead,Southampton,Crew,Man,32,Adult,Male,,,[145],Fireman,Engineering Crew,E
"ALLEN, Mr Robert Spencer",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Bedroom Steward (1st Class),Victualling Crew,V
"ALLEN, Mr William Henry",Dead,Southampton,3,Man,38,Adult,Male,8.05,373450,,Tool Maker,3rd Class Passenger,3
"ALLISON, Master Hudson Trevor",Alive,Southampton,1,Child,0.92,Child,Male,151.8,113781,11,,1st Class Passenger,1
"ALLISON, Miss Helen Loraine",Dead,Southampton,1,Child,2,Child,Female,151.8,113781,,,1st Class Passenger,1
"ALLISON, Mr Hudson Joshua Creighton",Dead,Southampton,1,Man,30,Adult,Male,151.8,113781,[135],Businessman,1st Class Passenger,1
"ALLISON, Mrs Bessie Waldo",Dead,Southampton,1,Woman,25,Adult,Female,151.8,113781,,,1st Class Passenger,1
"ALLSOP, Mr Alfred Samuel",Dead,Belfast,Crew,Man,35,Adult,Male,,,,2nd Electrician,Engineering Crew,E
"ALLSOP, Mr Frank Richard",Dead,Belfast,Crew,Man,41,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"ALLUM, Mr Owen George",Dead,Southampton,3,Man,15,Adult,Male,8.3,2223,[259],Gardener,3rd Class Passenger,3
"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",Alive,Southampton,3,Woman,19,Adult,Female,7.85416667,350046,16,,3rd Class Passenger,3
"ANDERSEN, Mr Albert Karvin",Dead,Southampton,3,Man,33,Adult,Male,22.525,4001,[260],Engineer,3rd Class Passenger,3
"ANDERSON, Mr Harry",Alive,Southampton,1,Man,47,Adult,Male,26.55,19952,3,Stockbroker,1st Class Passenger,1
"ANDERSON, Mr James",Alive,Southampton,Crew,Man,40,Adult,Male,,,3,Able Seaman,Deck Crew,D
"ANDERSON, Mr Walter Yuill",Dead,Southampton,Crew,Man,48,Adult,Male,,,[146],Bed Room Steward,Victualling Crew,V
"ANDERSSON, Master Sigvard Harald Elias",Dead,Southampton,3,Child,4,Child,Male,31.275,347082,,,3rd Class Passenger,3
"ANDERSSON, Miss Ebba Iris Alfrida",Dead,Southampton,3,Child,6,Child,Female,31.275,347082,,,3rd Class Passenger,3
"ANDERSSON, Miss Ellis Anna Maria",Dead,Southampton,3,Child,2,Child,Female,31.275,347082,,,3rd Class Passenger,3
"ANDERSSON, Miss Erna Alexandra",Alive,Southampton,3,Woman,17,Adult,Female,7.925,3101281,D,,3rd Class Passenger,3
"ANDERSSON, Miss Ida Augusta Margareta",Dead,Southampton,3,Woman,38,Adult,Female,7.775,347091,,,3rd Class Passenger,3
"ANDERSSON, Miss Ingeborg Constanzia",Dead,Southampton,3,Child,9,Child,Female,31.275,347082,,,3rd Class Passenger,3
"ANDERSSON, Miss Sigrid Elisabeth",Dead,Southampton,3,Child,11,Child,Female,31.275,347082,,,3rd Class Passenger,3
"ANDERSSON, Mr Anders Johan",Dead,Southampton,3,Man,39,Adult,Male,31.275,347082,,General Labourer,3rd Class Passenger,3
"ANDERSSON, Mr Johan Samuel",Dead,Southampton,3,Man,26,Adult,Male,7.775,347075,,General Labourer,3rd Class Passenger,3
"ANDERSSON, Mrs Alfrida Konstantia Brogren",Dead,Southampton,3,Woman,39,Adult,Female,31.275,347082,,,3rd Class Passenger,3
"ANDREASSON, Mr Paul Edvin",Dead,Southampton,3,Man,20,Adult,Male,7.85416667,347466,,General Labourer,3rd Class Passenger,3
"ANDREW, Mr Edgar Samuel",Dead,Southampton,2,Man,17,Adult,Male,11.5,231945,,,2nd Class Passenger,2
"ANDREW, Mr Frank Thomas",Dead,Southampton,2,Man,25,Adult,Male,10.5,34050,,Miner,2nd Class Passenger,2
"ANDREWS, Miss Kornelia Theodosia",Alive,Cherbourg,1,Woman,62,Adult,Female,77.9583333,13502,10,,1st Class Passenger,1
"ANDREWS, Mr Charles Edward",Alive,Southampton,Crew,Man,19,Adult,Male,,,16,Saloon Steward (2nd class),Victualling Crew,V
"ANDREWS, Mr Thomas",Dead,Belfast,1,Man,39,Adult,Male,0,112050,,Shipbuilder,1st Class PassengerH&W Guarantee Group,1
"ANGHELOFF, Mr Minko",Dead,Southampton,3,Man,26,Adult,Male,7.89583333,349202,,General Labourer,3rd Class Passenger,3
"ANGLE, Mr William A.",Dead,Southampton,2,Man,32,Adult,Male,26,226875,,,2nd Class Passenger,2
"ANGLE, Mrs Florence Mary Agnes",Alive,Southampton,2,Woman,36,Adult,Female,26,,11,,,2
"APPLETON, Mrs Charlotte",Alive,Southampton,1,Woman,53,Adult,Female,51.4791667,11769,2,,1st Class Passenger,1
"ARCHER, Mr Ernest Edward",Alive,Southampton,Crew,Man,35,Adult,Male,,,16,Able Seaman,Deck Crew,D
"ARNOLD-FRANCHI, Mr Josef",Dead,Southampton,3,Man,25,Adult,Male,17.8,349237,,General Labourer,3rd Class Passenger,3
"ARNOLD-FRANCHI, Mrs Josefine",Dead,Southampton,3,Woman,18,Adult,Female,17.8,349237,,,3rd Class Passenger,3
"ARONSSON, Mr Ernst Axel Algot",Dead,Southampton,3,Man,24,Adult,Male,7.775,349911,,General Labourer,3rd Class Passenger,3
"ARTAGAVEYTIA, Mr Ramon",Dead,Cherbourg,1,Man,71,Adult,Male,49.5041667,17609,[22],Businessman,1st Class Passenger,1
"ASHBY, Mr John",Dead,Southampton,2,Man,57,Adult,Male,13,244346,,,2nd Class Passenger,2
"ASHCROFT, Mr Austin Aloysius",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Clerk,Victualling Crew,V
"ASHE, Mr Henry Wellesley",Dead,Southampton,Crew,Man,41,Adult,Male,,,[34],Glory hole steward (3rd class),Victualling Crew,V
"ASIM, Mr Adola",Dead,Southampton,3,Man,35,Adult,Male,7.05,3101310,,General Labourer,3rd Class Passenger,3
"ASPESLAGH, Mr Georges",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Assistant Plateman,Restaurant Staff,R
"ASPLUND, Master Carl Edgar",Dead,Southampton,3,Child,5,Child,Male,31.3875,347077,,,3rd Class Passenger,3
"ASPLUND, Master Clarence Gustaf Hugo",Dead,Southampton,3,Child,9,Child,Male,31.3875,347077,,,3rd Class Passenger,3
"ASPLUND, Master Edvin Rojj Felix",Alive,Southampton,3,Child,3,Child,Male,31.3875,347077,15,,3rd Class Passenger,3
"ASPLUND, Master Filip Oscar",Dead,Southampton,3,Child,13,Child,Male,31.3875,347077,,,3rd Class Passenger,3
"ASPLUND, Miss Lillian Gertrud",Alive,Southampton,3,Child,5,Child,Female,31.3875,347077,15,,3rd Class Passenger,3
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Dead,Southampton,3,Man,40,Adult,Male,31.3875,347077,[142],General Labourer,3rd Class Passenger,3
"ASPLUND, Mr Johan Charles",Alive,Southampton,3,Man,23,Adult,Male,7.79583333,350054,13,,3rd Class Passenger,3
"ASPLUND, Mrs Selma Augusta Emilia",Alive,Southampton,3,Woman,38,Adult,Female,31.3875,347077,15,,3rd Class Passenger,3
"ASSAF, Mrs Mariana",Alive,Cherbourg,3,Woman,45,Adult,Female,7.225,2696,C,,3rd Class Passenger,3
"ASSAM, Mr Ali",Dead,Southampton,3,Man,23,Adult,Male,7.05,3101309,,General Labourer,3rd Class Passenger,3
"ASTOR, Colonel John Jacob",Dead,Cherbourg,1,Man,47,Adult,Male,247.525,17757,[124],Property Developer / Real Estate,1st Class Passenger,1
"ASTOR, Mrs Madeleine Talmage",Alive,Cherbourg,1,Woman,18,Adult,Female,247.525,17757,4,,1st Class Passenger,1
"ATTALA, Mr Sleiman",Dead,Cherbourg,3,Man,27,Adult,Male,7.225,2694,,Journalist,3rd Class Passenger,3
"ATTALAH, Miss Malake",Dead,Cherbourg,3,Woman,17,Adult,Female,14.4583333,2627,,,3rd Class Passenger,3
"AUBART, Mme. Lontine Pauline",Alive,Cherbourg,1,Woman,24,Adult,Female,69.3,17477,9,Singer,1st Class Passenger,1
"AUGUSTSSON, Mr Albert",Dead,Southampton,3,Man,23,Adult,Male,7.85416667,347468,,General Labourer,3rd Class Passenger,3
"AVERY, Mr James Albert",Alive,Southampton,Crew,Man,22,Adult,Male,,,15,Trimmer,Engineering Crew,E
"AYLING, Mr Edwin George",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Assistant Vegetable Cook,Victualling Crew,V
"AYOUB DAHER, Miss Banoura",Alive,Cherbourg,3,Woman,15,Adult,Female,7.22916667,2687,C,,3rd Class Passenger,3
"BACCOS, Mr Raffull",Dead,Cherbourg,3,Man,20,Adult,Male,7.225,2679,,Farm Labourer,3rd Class Passenger,3
"BACK, Mr Charles Frederick",Dead,Belfast,Crew,Man,32,Adult,Male,,,,Assistant Lounge Steward,Victualling Crew,V
"BACKSTRM, Mr Karl Alfred",Dead,Southampton,3,Man,32,Adult,Male,15.85,3101278,,General Labourer,3rd Class Passenger,3
"BACKSTRM, Mrs Maria Mathilda",Alive,Southampton,3,Woman,33,Adult,Female,15.85,3101278,,,3rd Class Passenger,3
"BACLINI, Miss Eugenie",Alive,Cherbourg,3,Child,3,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3
"BACLINI, Miss Helene Barbara",Alive,Cherbourg,3,Child,0.75,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3
"BACLINI, Miss Marie Catherine",Alive,Cherbourg,3,Child,5,Child,Female,19.2583333,2666,C,,3rd Class Passenger,3
"BACLINI, Mrs Latifa",Alive,Cherbourg,3,Woman,24,Adult,Female,19.2583333,2666,C,,3rd Class Passenger,3
"BADMAN, Miss Emily Louisa",Alive,Southampton,3,Woman,18,Adult,Female,8.05,31416,C,Servant,3rd Class Passenger,3
"BADT, Mr Mohamed",Dead,Cherbourg,3,Man,40,Adult,Male,7.225,2623,,Farmer,3rd Class Passenger,3
"BAGGOTT, Mr Allen Marden",Alive,Southampton,Crew,Man,28,Adult,Male,,,9,Saloon Steward,Victualling Crew,V
"BAGLEY, Mr Edward Henry",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"BAILEY, Mr George Francis",Dead,Belfast,Crew,Man,36,Adult,Male,,,[161],Saloon Steward,Victualling Crew,V
"BAILEY, Mr George W.",Dead,Southampton,Crew,Man,46,Adult,Male,,,,Fireman,Engineering Crew,E
"BAILEY, Mr Henry Joseph",Alive,Southampton,Crew,Man,43,Adult,Male,,,16,Master-at-arms,Deck Crew,D
"BAILEY, Mr Percy",Dead,Southampton,2,Man,15,Adult,Male,11.5,29108,,Butcher's Assistant,2nd Class Passenger,2
"BAINBRIGGE, Mr Charles Robert",Dead,Southampton,2,Man,23,Adult,Male,10.5,31030,,Horse Trainer,2nd Class Passenger,2
"BAINES, Mr Richard",Dead,Southampton,Crew,Man,24,Adult,Male,,,,Greaser,Engineering Crew,E
"BALKIC, Mr Cerin",Dead,Southampton,3,Man,26,Adult,Male,7.89583333,349248,,General Labourer,3rd Class Passenger,3
"BALL, Mr Percy",Alive,Southampton,Crew,Man,19,Adult,Male,,,,Plate Steward,Victualling Crew,V
"BALL, Mrs Ada E.",Alive,Southampton,2,Woman,36,Adult,Female,13,28551,10,,2nd Class Passenger,2
"BANFI, Sig. Ugo",Dead,Southampton,Crew,Man,24,Adult,Male,,,,Waiter,Restaurant Staff,R
"BANFIELD, Mr Frederick James",Dead,Southampton,2,Man,28,Adult,Male,10.5,34068,,Miner,2nd Class Passenger,2
"BANNON, Mr John Joseph",Dead,Southampton,Crew,Man,34,Adult,Male,,,,Greaser,Engineering Crew,E
"BANSKI, Mrs Mara",Alive,Southampton,3,Woman,31,Adult,Female,8.68333333,349244,,,3rd Class Passenger,3
"BARBARA, Miss Saiide",Dead,Cherbourg,3,Woman,18,Adult,Female,14.4541667,2691,,Housekeeper,3rd Class Passenger,3
"BARBARA, Mrs Catherine David",Dead,Cherbourg,3,Woman,45,Adult,Female,14.4541667,2691,,Housekeeper,3rd Class Passenger,3
"BARBER, Miss Ellen Mary",Alive,Southampton,1,Woman,26,Adult,Female,78.85,19877,6,Personal Maid,1st Class PassengerServant,1
"BARKER, Mr Albert Vale",Dead,Southampton,Crew,Man,19,Adult,Male,,,,Baker,Victualling Crew,V
"BARKER, Mr Ernest Thomas",Dead,Southampton,Crew,Man,40,Adult,Male,,,[159],Saloon Steward (1st class),Victualling Crew,V
"BARKER, Mr Reginald Lomond",Dead,Belfast,Crew,Man,40,Adult,Male,,,,"Second Purser, 1st Class",Victualling Crew,V
"BARKWORTH, Mr Algernon Henry",Alive,Southampton,1,Man,47,Adult,Male,30,27042,B,Justice of the Peace,1st Class Passenger,1
"BARLOW, Mr Charles",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Fireman,Engineering Crew,E
"BARLOW, Mr George",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Bed Room Steward,Victualling Crew,V
"BARNES, Mr Charles",Dead,Southampton,Crew,Man,29,Adult,Male,,,,Fireman,Engineering Crew,E
"BARNES, Mr Frederick Charles",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Assistant baker,Victualling Crew,V
"BARNES, Mr John",Dead,Southampton,Crew,Man,41,Adult,Male,,,,Fireman,Engineering Crew,E
"BARRATT, Mr Arthur",Dead,Southampton,Crew,Man,15,Adult,Male,,,,Bell Boy,Victualling Crew,V
"BARRETT, Mr Frederick",Alive,Southampton,Crew,Man,28,Adult,Male,,,13,Leading Fireman,Engineering Crew,E
"BARRETT, Mr Frederick William",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Fireman,Engineering Crew,E
"BARRINGER, Mr Arthur William",Dead,Belfast,Crew,Man,33,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"BARROW, Mr Charles Henry John Barrow",Dead,Southampton,Crew,Man,35,Adult,Male,,,,Assistant butcher,Victualling Crew,V
"BARROWS, Mr William",Dead,Southampton,Crew,Man,32,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"BARRY, Miss Julia",Dead,Queenstown,3,Woman,26,Adult,Female,7.87916667,330844,,Housekeeper,3rd Class Passenger,3
"BARTON, Mr David John",Dead,Southampton,3,Man,22,Adult,Male,8.05,324669,,General Labourer,3rd Class Passenger,3
"BARTON, Mr Sidney John",Dead,Southampton,Crew,Man,26,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"BASILICO, Sig. Giovanni",Dead,Southampton,Crew,Man,27,Adult,Male,,,,Waiter,Restaurant Staff,R
"BASSANI, Mrs Albina",Alive,Cherbourg,1,Woman,32,Adult,Female,76.2916667,,8,Personal Maid,,1
"BATEMAN, Fr Robert James",Dead,Southampton,2,Man,51,Adult,Male,12.525,1166,[174],Priest / Minister,2nd Class Passenger,2
"BAUMANN, Mr John D.",Dead,Cherbourg,1,Man,60,Adult,Male,25.925,17318,,Businessman,1st Class Passenger,1
"BAXTER, Mr Harry Ross",Dead,Southampton,Crew,Man,53,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"BAXTER, Mr Quigg Edmond",Dead,Cherbourg,1,Man,24,Adult,Male,247.520833,17558,,,1st Class Passenger,1
"BAXTER, Mr Thomas Ferguson",Dead,Southampton,Crew,Man,55,Adult,Male,,,[235],Linen Steward (1st class),Victualling Crew,V
"BAXTER, Mrs Hlne",Alive,Cherbourg,1,Woman,50,Adult,Female,247.520833,17558,6,,1st Class Passenger,1
"BAZZI, Sig. Narciso",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Waiter,Restaurant Staff,R
"BEANE, Mr Edward",Alive,Southampton,2,Man,32,Adult,Male,26,2908,13,,2nd Class Passenger,2
"BEANE, Mrs Ethel",Alive,Southampton,2,Woman,19,Adult,Female,26,2908,13,,2nd Class Passenger,2
"BEATTIE, Mr Joseph",Dead,Belfast,Crew,Man,35,Adult,Male,,,,Greaser,Engineering Crew,E
"BEATTIE, Mr Thomson",Dead,Southampton,1,Man,36,Adult,Male,75.2416667,13050,A[331],Landowner,1st Class Passenger,1
"BEAUCHAMP, Mr George William",Alive,Southampton,Crew,Man,24,Adult,Male,,,13,Fireman,Engineering Crew,E
"BEAUCHAMP, Mr Henry James",Dead,Southampton,2,Man,28,Adult,Male,26,244358,,Club Head Steward,2nd Class Passenger,2
"BEAVAN, Mr William Thomas",Dead,Southampton,3,Man,20,Adult,Male,8.05,323951,,General Labourer,3rd Class Passenger,3
"BECKER, Master Richard F.",Alive,Southampton,2,Child,1,Child,Male,39,230136,11,,2nd Class Passenger,2
"BECKER, Miss Marion Louise",Alive,Southampton,2,Child,4,Child,Female,39,230136,11,,2nd Class Passenger,2
"BECKER, Miss Ruth Elizabeth",Alive,Southampton,2,Child,12,Child,Female,39,230136,13,,2nd Class Passenger,2
"BECKER, Mrs Nellie E.",Alive,Southampton,2,Woman,35,Adult,Female,39,230136,11,,2nd Class Passenger,2
"BECKWITH, Mr Richard Leonard",Alive,Southampton,1,Man,37,Adult,Male,52.5541667,11751,5,,1st Class Passenger,1
"BECKWITH, Mrs Sallie",Alive,Southampton,1,Woman,46,Adult,Female,52.5541667,11751,5,,1st Class Passenger,1
"BEDFORD, Mr William Barnett",Dead,Southampton,Crew,Man,31,Adult,Male,,,,Assistant Roast Cook,Victualling Crew,V
"BEEDEM, Mr George Arthur",Dead,Southampton,Crew,Man,34,Adult,Male,,,,2nd Class Bedroom Steward,Victualling Crew,V
"BEERE, Mr William",Dead,Southampton,Crew,Man,19,Adult,Male,,,,Kitchen Porter,Victualling Crew,V
"BEESLEY, Mr Lawrence",Alive,Southampton,2,Man,34,Adult,Male,13,248698,13,Teacher,2nd Class Passenger,2
"BEHR, Mr Karl Howell",Alive,Cherbourg,1,Man,26,Adult,Male,30,111369,5,,1st Class Passenger,1
"BELL, Mr Joseph",Dead,Belfast,Crew,Man,50,Adult,Male,,,,Chief Engineer,Engineering Crew,E
"BENDELL, Mr Frank",Dead,Southampton,Crew,Man,24,Adult,Male,,,,Fireman,Engineering Crew,E
"BENGTSSON, Mr Johan Viktor",Dead,Southampton,3,Man,26,Adult,Male,7.775,347068,,General Labourer,3rd Class Passenger,3
"BENHAM, Mr Fred John",Dead,Southampton,Crew,Man,29,Adult,Male,,,,Saloon Steward (2nd class),Victualling Crew,V
"BENNETT, Mr George Alfred",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Fireman,Engineering Crew,E
"BENNETT, Mrs Mabel",Alive,Southampton,Crew,Woman,33,Adult,Female,,,,Stewardess,Victualling Crew,V
"BENTHAM, Miss Lillian W.",Alive,Southampton,2,Woman,19,Adult,Female,13,28404,12,,2nd Class Passenger,2
"BENVILLE, Mr Edward",Dead,Southampton,Crew,Man,47,Adult,Male,,,,Fireman,Engineering Crew,E
"BERGLUND, Mr Karl Ivar Sven",Dead,Southampton,3,Man,22,Adult,Male,9.35,4348,,General Labourer,3rd Class Passenger,3
"BERNARDI, Sig. Battista",Dead,Southampton,Crew,Man,22,Adult,Male,,,[215],Assistant Waiter,Restaurant Staff,R
"BERRIMAN, Mr William John",Dead,Southampton,2,Man,23,Adult,Male,13,28425,,,2nd Class Passenger,2
"BESSANT, Mr Edward",Dead,Southampton,Crew,Man,31,Adult,Male,,,,1st class baggage steward,Victualling Crew,V
"BESSANT, Mr William Edward Lowe",Dead,Southampton,Crew,Man,39,Adult,Male,,,,Fireman,Engineering Crew,E
"BESSETTE, Miss Nellie Mayo",Alive,Cherbourg,1,Woman,39,Adult,Female,63.3583333,17760,8,Personal Maid,1st Class PassengerServant,1
"BEST, Mr Edwin Alfred",Dead,Belfast,Crew,Man,38,Adult,Male,,,,Saloon Steward (1st class),Victualling Crew,V
"BEUX, Mr David",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Assistant Waiter,Restaurant Staff,R
"BEVIS, Mr Joseph Henry",Dead,Southampton,Crew,Man,22,Adult,Male,,,,Trimmer,Engineering Crew,E
"BIDDLECOMBE, Mr Reginald Charles",Dead,Southampton,Crew,Man,31,Adult,Male,,,,Fireman,Engineering Crew,E
"BIDOIS, Miss Rosalie",Alive,Cherbourg,1,Woman,46,Adult,Female,247.525,17757,4,Personal Maid,1st Class PassengerServant,1
"BIETRIX, Mr George Baptiste",Dead,Southampton,Crew,Man,28,Adult,Male,,,,Cook,Restaurant Staff,R
"BIGGS, Mr Edward Charles",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Fireman,Engineering Crew,E
"BILLOWS, Mr James",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Trimmer,Engineering Crew,E
"BING, Mr Lee",Alive,Southampton,3,Man,32,Adult,Male,56.4958333,1601,C,Seaman,3rd Class Passenger,3
"BINSTEAD, Mr Walter William",Alive,Southampton,Crew,Man,20,Adult,Male,,,3,Trimmer,Engineering Crew,E
"BIRD, Miss Ellen",Alive,Southampton,1,Woman,31,Adult,Female,221.779167,17483,8,Personal Maid,1st Class PassengerServant,1
"BIRKELAND, Mr Hans Martin Monsen",Dead,Southampton,3,Man,21,Adult,Male,7.775,312992,,Seaman,3rd Class Passenger,3
"BIRNBAUM, Mr Jakob",Dead,Cherbourg,1,Man,24,Adult,Male,26,13905,[148],,1st Class Passenger,1
"BISHOP, Mr Dickinson H.",Alive,Cherbourg,1,Man,25,Adult,Male,91.0791667,11967,7,,1st Class Passenger,1
"BISHOP, Mr Walter Alexander",Dead,Belfast,Crew,Man,33,Adult,Male,,,,1st Class Bedroom Steward,Victualling Crew,V
"BISHOP, Mrs Helen",Alive,Cherbourg,1,Woman,19,Adult,Female,91.0791667,11967,7,,1st Class Passenger,1
"BJRKLUND, Mr Ernst Herbert",Dead,Southampton,3,Man,18,Adult,Male,7.75,347090,,General Labourer,3rd Class Passenger,3
"BJRNSTRM-STEFFANSSON, Mr Mauritz Hokan",Alive,Southampton,1,Man,28,Adult,Male,26.55,110564,D,Businessman,1st Class Passenger,1
"BLACK, Mr Alexander",Dead,Southampton,Crew,Man,28,Adult,Male,,,,Fireman,Engineering Crew,E
"BLACK, Mr D.",Dead,Southampton,Crew,Man,41,Adult,Male,,,,Fireman,Engineering Crew,E
"BLACKMAN, Mr Albert Edward",Dead,Southampton,Crew,Man,23,Adult,Male,,,,Fireman,Engineering Crew,E
"BLACKWELL, Mr Stephen Weart",Dead,Southampton,1,Man,45,Adult,Male,35.5,113784,,,1st Class Passenger,1
"BLAKE, Mr Percival Albert",Alive,Southampton,Crew,Man,22,Adult,Male,,,15,Trimmer,Engineering Crew,E
"BLAKE, Mr Seaton",Dead,Belfast,Crew,Man,26,Adult,Male,,,,Mess Steward,Engineering Crew,E
"BLAKE, Mr Thomas Henry",Dead,Southampton,Crew,Man,36,Adult,Male,,,,Fireman,Engineering Crew,E
"BLANEY, Mr James",Dead,Southampton,Crew,Man,32,Adult,Male,,,,Fireman,Engineering Crew,E
"BLANK, Mr Henry",Alive,Cherbourg,1,Man,39,Adult,Male,31,112277,7,Jeweller,1st Class Passenger,1
"BLANN, Mr Eustace Horatius",Dead,Southampton,Crew,Man,21,Adult,Male,,,,Fireman,Engineering Crew,E
"BLISS, Mrs Emma",Alive,Southampton,Crew,Woman,45,Adult,Female,,,15,Stewardess,Victualling Crew,V
"BLUMET, Mr Jean Baptiste",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Pantryman,Restaurant Staff,R
"BOCHATAY, Mr Alexis Joseph",Dead,Southampton,Crew,Man,30,Adult,Male,,,,Chef,Victualling Crew,V
