"","Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"53","Julien Absalon","France",31,1.8,68,"M",NA,"Remiremont (FRA)",0,0,0,0,"Cycling - Mountain Bike","Men's Cross-country"
"54","Ayele Abshero","Ethiopia",21,1.68,62,"M",NA,"YEBOBA (ETH)",0,0,0,0,"Athletics","Men's Marathon"
"55","Methkal Abu Drais","Jordan",28,1.68,62,"M",NA,"ALARDAH (JOR)",0,0,0,0,"Athletics","Men's Marathon"
"56","Maher Abu Rmilah","Palestine",28,1.72,72,"M",NA,"Jerusalem (PLE)",0,0,0,0,"Judo","Men's -73kg"
"57","Mohammad Abulibdeh","Jordan",28,1.83,NA,"M",NA,"Amman (JOR)",0,0,0,0,"Taekwondo","Men's -68kg"
"58","Kanat Abutalipov","Kazakhstan",29,1.68,NA,"M",NA,"Astana (KAZ)",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"59","Irina Abysova","Russian Federation",31,1.75,58,"F",1980-07-11,"Moscow (RUS)",0,0,0,0,"Triathlon","Women's Triathlon"
"60","Raidel Acea","Cuba",21,NA,NA,"M",NA,"CIENFUEGOS (CUB)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"61","Abraham Acevedo","Paraguay",22,NA,65,"M",1989-12-09,"ASUNCION",0,0,0,0,"Judo","Men's -66kg"
"62","Loreto Achaerandio","Spain",20,1.64,NA,"F",NA,"Madrid (ESP)",0,0,0,0,"Gymnastics - Rhythmic","Group All-Around"
"63","Kieron Achara","Great Britain",29,2.08,110,"M",1983-03-07,"",0,0,0,0,"Basketball","Men's Basketball"
"64","Georgios Achilleos","Cyprus",31,1.72,80,"M",NA,"London (GBR)",0,0,0,0,"Shooting","Men's Skeet"
"65","Janet Achola","Uganda",24,1.67,52,"F",NA,"LIRA (UGA)",0,0,0,0,"Athletics","Women's 1500m"
"66","Natalie Achonwa","Canada",19,1.92,83,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"67","Dallal Merwa Achour","Algeria",17,1.75,60,"F",1994-03-11,"",0,0,0,0,"Volleyball","Women's Volleyball"
"68","Haikel Achouri","Tunisia",27,1.84,84,"M",NA,"Tunis (TUN)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"69","Chantal Achterberg","Netherlands",27,1.71,72,"F",NA,"",0,0,1,1,"Rowing","Women's Eight"
"70","Luz Mercedes Acosta Valdez","Mexico",31,1.66,63,"F",NA,"Sonora",0,0,0,0,"Weightlifting","Women's 63kg"
"71","Amy Acuff","United States of America",37,1.88,66,"F",NA,"Port Arthur (USA)",0,0,0,0,"Athletics","Women's High Jump"
"72","Crox Acuna Rodriguez","Venezuela",22,1.92,89,"M",NA,"Maracay (VEN)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"73","Mariko Adachi","Japan",29,1.62,51,"F",NA,"HIRAKATA (JPN)",0,0,0,0,"Triathlon","Women's Triathlon"
"74","Yumi Adachi","Japan",23,1.6,NA,"F",1989-07-02,"Saitama (JPN)",0,0,0,0,"Synchronised Swimming","Women's Teams"
"75","Idrissa Adam","Cameroon",27,1.78,79,"M",NA,"GAROUA (CMR)",0,0,0,0,"Athletics","Men's 100m"
"76","Tomasz Adamiec","Poland",30,1.71,73,"M",NA,"HAJNOWKA (POL)",0,0,0,0,"Judo","Men's -73kg"
"77","Antoine Adams","Saint Kitts and Nevis",23,1.8,79,"M",NA,"Basseterre (SKN)",0,0,0,0,"Athletics","Men's 100m, Men's 200m, Men's 4 x 100m Relay"
"78","Cammile Adams","United States of America",20,1.73,65,"F",1991-11-09,"Houston (USA)",0,0,0,0,"Swimming","Women's 200m Butterfly"
"79","Luke Adams","Australia",35,1.89,70,"M",NA,"MVUMI (TAN)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"80","Lyukman Adams","Russian Federation",23,1.94,87,"M",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Men's Triple Jump"
"81","Nicola Adams","Great Britain",29,1.64,NA,"F",NA,"",0,0,0,0,"Boxing","Women's Fly (51kg)"
"82","Valerie Adams","New Zealand",27,1.93,120,"F",1984-06-10,"Rotorua (NZL)",0,0,0,0,"Athletics","Women's Shot Put"
"83","Filip Adamski","Germany",29,1.89,90,"M",1983-05-01,"",1,0,0,1,"Rowing","Men's Eight"
"84","Jakub Adamski","Poland",24,1.83,75,"M",1987-11-11,"GORZOW WIELKOPOLSKI (POL)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"85","Chris Adcock","Great Britain",23,1.83,80,"M",NA,"Leicester",0,0,0,0,"Badminton","Mixed Doubles"
"86","Jangy Addy","Liberia",27,1.88,88,"M",1985-03-02,"Monrovia (LBR)",0,0,0,0,"Athletics","Men's Decathlon"
"87","Abrar Osman Adem","Eritrea",18,1.68,58,"M",1994-01-01,"ADI SHIMAGLE (ERI)",0,0,0,0,"Athletics","Men's 5000m"
"88","Margaret Adeoye","Great Britain",27,1.62,65,"F",NA,"Lagos (NGR)",0,0,0,0,"Athletics","Women's 200m"
"89","Seun Adigun","Nigeria",25,1.53,52,"F",1987-03-01,"ILLINOIS (USA)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"90","Jonna Adlerteg","Sweden",17,1.53,NA,"F",1995-06-06,"Vasteras (SWE)",0,0,0,0,"Gymnastics - Artistic","Women's Qualification"
"91","Rebecca Adlington","Great Britain",23,1.79,70,"F",NA,"Mansfield (GBR)",0,0,1,1,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle"
"92","Nathan Adrian","United States of America",23,2.01,102,"M",1988-07-12,"Bremerton (USA)",1,1,0,2,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
"93","Jasper Aerents","Belgium",19,1.9,84,"M",NA,"Gent (BEL)",0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
"94","Sara Aerts","Belgium",28,1.82,64,"F",NA,"Turnhout (BEL)",0,0,0,0,"Athletics","Women's Heptathlon"
"95","Kseniia Afanaseva","Russian Federation",20,1.58,NA,"F",NA,"Tula (RUS)",0,1,0,1,"Gymnastics - Artistic","Women's Team, Women's Qualification"
"96","Francois Affolter","Switzerland",21,1.86,74,"M",NA,"",0,0,0,0,"Football","Men's Football"
"97","Alvaro Affonso de Miranda Neto","Brazil",39,NA,NA,"M",1973-05-02,"Sao Paulo (BRA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO"
"98","Christos Afroudakis","Greece",28,1.88,88,"M",NA,"Athzzzna (GRE)",0,0,0,0,"Water Polo","Men's Water Polo"
"99","Georgios Afroudakis","Greece",35,1.94,103,"M",NA,"Athzzzna (GRE)",0,0,0,0,"Water Polo","Men's Water Polo"
"100","Dragos Agache","Romania",28,1.75,75,"M",1984-08-03,"Braila (ROU)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"101","Alphonsine Agahozo","Rwanda",16,1.6,50,"F",NA,"NYARUGENGE",0,0,0,0,"Swimming","Women's 50m Freestyle"
"102","Luca Agamennoni","Italy",31,1.88,96,"M",1980-08-08,"",0,0,0,0,"Rowing","Men's Four"
"103","Mawussi Agbetoglo","Togo",18,NA,NA,"M",NA,"AGOME",0,0,0,0,"Table Tennis","Men's Singles"
"104","Marilyn Agliotti","Netherlands",33,1.71,61,"F",NA,"BOKSBURG (RSA)",0,0,0,0,"Hockey","Women's Hockey"
"105","Yannick Agnel","France",20,2.02,90,"M",1992-09-06,"Nimes (FRA)",2,1,0,3,"Swimming","Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
"106","Anna Agrafioti","Greece",21,1.78,76,"F",1991-10-04,"CHOLARGOS (GRE)",0,0,0,0,"Sailing","Women's Laser Radial"
"107","Ulrika Agren","Sweden",25,1.77,66,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"108","Renzo Agresta","Brazil",27,NA,NA,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"109","Mayra Aguiar","Brazil",21,1.78,78,"F",1991-03-08,"Porto Alegre (BRA)",0,0,1,1,"Judo","Women's -78kg"
"110","Alberto Aguilar","Venezuela",27,1.94,80,"M",1985-09-03,"SAN FEERNANDO (VEN)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"111","Alessandra Aguilar","Spain",34,1.65,50,"F",1978-01-07,"Lugo (ESP)",0,0,0,0,"Athletics","Women's Marathon"
"112","Sandra Aguilar","Spain",19,1.67,NA,"F",1992-09-08,"Madrid (ESP)",0,0,0,0,"Gymnastics - Rhythmic","Group All-Around"
"113","Macarena Aguilar Diaz","Spain",27,1.7,67,"F",1985-12-03,"",0,0,0,0,"Handball","Women's Handball"
"114","Inaki Aguilar Vicente","Spain",28,1.89,82,"M",1983-09-09,"Barcelona (ESP)",0,0,0,0,"Water Polo","Men's Water Polo"
"115","Julen Aguinagalde Akizu","Spain",29,1.96,113,"M",1982-02-12,"",0,0,0,0,"Handball","Men's Handball"
"116","Jeinkler Aguirre","Cuba",22,NA,NA,"M",NA,"Camaguey (CUB)",0,0,0,0,"Diving","Men's 10m Platform, Men's Synchronised 10m Platform"
"117","Marcelo Aguirre","Paraguay",19,1.74,66,"M",NA,"ASUNCION (PAR)",0,0,0,0,"Table Tennis","Men's Singles"
"118","Matias Aguirregaray","Uruguay",23,1.78,79,"M",1989-01-04,"",0,0,0,0,"Football","Men's Football"
"119","Mikel Aguirrezabalaga Garcia","Spain",28,1.96,92,"M",1984-08-04,"",0,0,0,0,"Handball","Men's Handball"
"120","Feta Ahamada","Comoros",25,1.6,50,"F",NA,"CLICHY",0,0,0,0,"Athletics","Women's 100m"
"121","Johanna Ahlm","Sweden",24,1.75,65,"F",1987-03-10,"",0,0,0,0,"Handball","Women's Handball"
"122","Christian Ahlmann","Germany",37,1.92,88,"M",NA,"MARL (GER)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, CODEX ONE"
"123","Tontowi Ahmad","Indonesia",25,1.78,68,"M",NA,"BANYUMAS",0,0,0,0,"Badminton","Mixed Doubles"
"124","Waseem Ahmad","Pakistan",35,NA,NA,"M",1977-10-04,"",0,0,0,0,"Hockey","Men's Hockey"
"125","Elaheh Ahmadi","Islamic Republic of Iran",30,1.6,58,"F",NA,"Tehran (IRI)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"126","Emin Ahmadov","Azerbaijan",25,1.7,74,"M",1986-06-10,"Baku (AZE)",0,0,0,0,"Wrestling","Men's 74kg Greco-Roman"
"127","Abdelrahman Ahmed","Egypt",23,1.76,NA,"M",1988-07-10,"Cairo (EGY)",0,0,0,0,"Taekwondo","Men's -80kg"
"128","Abdou Omar Abdou Ahmed","Egypt",23,1.72,66,"M",NA,"SUEZ (EGY)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"129","Ahmed Abdulkareem Ahmed","Iraq",20,NA,NA,"M",NA,"BAGHDAD (IRQ)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"130","Azneem Ahmed","Maldives",23,1.69,65,"M",1989-01-01,"HDH.KULHUDHUFFUSHI (MDV)",0,0,0,0,"Athletics","Men's 100m"
"131","Esmat Ahmed","Egypt",25,1.65,68,"F",NA,"ALEX",0,0,0,0,"Weightlifting","Women's 69kg"
"132","Fareed Ahmed","Pakistan",23,NA,NA,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"133","Mohammed Ahmed","Canada",21,1.9,60,"M",1991-05-01,"Mogadishu (SOM)",0,0,0,0,"Athletics","Men's 10,000m"
"134","Shehab Ahmed","Egypt",21,1.74,73,"M",NA,"",0,0,0,0,"Football","Men's Football"
"135","Odile Ahouanwanou","Benin",21,1.78,71,"F",1991-05-01,"SAVALOU (BEN)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"136","Murielle Ahoure","Cote d'Ivoire",24,1.7,57,"F",NA,"Abidjan (CIV)",0,0,0,0,"Athletics","Women's 100m, Women's 200m"
"137","Gaby Diana Ahrens","Namibia",31,1.7,60,"F",NA,"Windhoek (NAM)",0,0,0,0,"Shooting","Women's Trap"
"138","Mohammad Ahsan","Indonesia",24,1.74,66,"M",1987-07-09,"PALEMBANG",0,0,0,0,"Badminton","Men's Doubles"
"139","Johannes Ahun","Estonia",24,1.88,80,"M",NA,"Tallinn (EST)",0,0,0,0,"Sailing","Men's RS-X"
"140","Michelle-Lee Ahye","Trinidad and Tobago",20,1.6,64,"F",1992-10-04,"Port of Spain (TRI)",0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay"
"141","Matteo Aicardi","Italy",26,1.92,104,"M",NA,"FINALE LIGURE (ITA)",0,0,0,0,"Water Polo","Men's Water Polo"
"142","Neringa Aidietyte","Lithuania",29,1.77,61,"F",1983-05-06,"Vilnius (LTU)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"143","Hannes Aigner","Germany",23,1.83,80,"M",NA,"Augsburg (GER)",0,0,1,1,"Canoe Slalom","Men's Kayak (K1)"
"144","Ben Ainslie","Great Britain",35,1.83,90,"M",1977-05-02,"Macclesfield (GBR)",0,0,0,0,"Sailing","Men's Finn"
"145","Tassadit Aissou","Algeria",23,1.84,80,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"146","Souad Ait Salem","Algeria",33,1.67,50,"F",1979-06-01,"MECHERIA NAAMA (ALG)",0,0,0,0,"Athletics","Women's Marathon"
"147","Gulnafis Aitmukhambetova","Kazakhstan",24,1.75,NA,"F",1988-02-02,"Atyrau (KAZ)",0,0,0,0,"Taekwondo","Women's -67kg"
"148","Marina Aitova","Kazakhstan",29,1.78,59,"F",NA,"Almaty (KAZ)",0,0,0,0,"Athletics","Women's High Jump"
"149","Henriette Akaba Edoa","Cameroon",20,1.6,65,"F",1992-07-06,"",0,0,0,0,"Football","Women's Football"
"150","Muideen Akanji","Nigeria",20,NA,NA,"M",1992-12-05,"Lagos (NGR)",0,0,0,0,"Boxing","Men's Middle (75kg)"
"151","Tolga Akcayli","St Vincent and the Grenadines",19,NA,NA,"M",NA,"United Kingdom (GBR)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"152","Tarik Langat Akdag","Turkey",24,NA,NA,"M",NA,"Nandi (KEN)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"153","Ahmet Akdilek","Turkey",24,1.78,67,"M",1988-10-03,"KARAMAN (TUR)",0,0,0,0,"Cycling - Road","Men's Individual Time Trial, Men's Road Race"
"154","Taha Akgul","Turkey",21,1.92,120,"M",NA,"Sivas (TUR)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"155","Habibollah Jomeh Akhlaghi","Islamic Republic of Iran",27,1.79,84,"M",1985-03-08,"ANDIMESHK (IRI)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"156","Artur Akhmatkhuzin","Russian Federation",24,1.82,74,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil"
"157","Esther Akihary","Netherlands",25,1.66,56,"F",NA,"VEENENDAAL (NED)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"158","Ozge Akin-Gurler","Turkey",27,NA,NA,"F",NA,"AKHISAR (TUR)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"159","Foluke Akinradewo","United States of America",24,1.91,79,"F",1987-05-10,"London (CAN)",0,0,0,0,"Volleyball","Women's Volleyball"
"160","Jonathan Akinyemi","Nigeria",23,1.83,79,"M",NA,"WARRINGTON (GBR)",0,0,0,0,"Canoe Slalom","Men's Kayak (K1)"
"161","Khadzhimurat Akkaev","Russian Federation",27,1.78,105,"M",NA,"TURNAUZ (RUS)",0,0,0,0,"Weightlifting","Men's 105kg"
"162","Malika Akkaoui","Morocco",24,1.6,49,"F",NA,"ZAIDA (MAR)",0,0,0,0,"Athletics","Women's 800m"
"163","Adnan Taess Akkar","Iraq",32,1.65,78,"M",NA,"WASSIT (IRQ)",0,0,0,0,"Athletics","Men's 800m"
"164","Youssef Akrout","Tunisia",21,1.8,78,"M",NA,"Tunis (TUN)",0,0,0,0,"Sailing","Men's Laser"
"165","Chie Akutsu","Japan",27,1.55,51,"F",NA,"IMAICHI (JPN)",0,0,0,0,"Hockey","Women's Hockey"
"166","Noah Akwu","Nigeria",21,1.6,74,"M",NA,"Enugu (NGR)",0,0,0,0,"Athletics","Men's 200m"
"167","Ahmed Ali Al Abri","United Arab Emirates",22,1.71,72,"M",NA,"",0,0,0,0,"Football","Men's Football"
"168","Noor Amer Al Ameri","Iraq",18,NA,NA,"F",1994-12-01,"KARBALA (IRQ)",0,0,0,0,"Shooting","Women's 10m Air Pistol"
"169","Omar Abdulrahman Al Amoudi","United Arab Emirates",20,1.68,62,"M",NA,"",0,0,0,0,"Football","Men's Football"
"170","Abdulaziz Hussain Al Balooshi","United Arab Emirates",21,1.78,66,"M",1990-10-09,"",0,0,0,0,"Football","Men's Football"
"171","Mubarak Al Besher","United Arab Emirates",24,NA,NA,"M",NA,"DUBAI (UAE)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"172","Ramzy Al Duhami","Saudi Arabia",40,NA,NA,"M",1972-05-01,"Riyadh (KSA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE"
"173","Rashed Eisa Al Falasi","United Arab Emirates",21,1.76,65,"M",NA,"",0,0,0,0,"Football","Men's Football"
"174","Habib Fardan Al Fardan","United Arab Emirates",21,1.79,71,"M",1990-11-11,"",0,0,0,0,"Football","Men's Football"
"175","Bahaa Al Farra","Palestine",21,1.75,65,"M",1991-10-03,"KHAN YOUNIS (PLE)",0,0,0,0,"Athletics","Men's 400m"
"176","Ali Mabkhout Al Hajeri","United Arab Emirates",21,1.76,71,"M",1990-05-10,"",0,0,0,0,"Football","Men's Football"
"177","Bahya Mansour Al Hamad","Qatar",20,1.66,69,"F",NA,"Qatar (QAT)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"178","Amer Abdulrahman Al Hammadi","United Arab Emirates",23,1.68,68,"M",1989-03-07,"",0,0,0,0,"Football","Men's Football"
"179","Ismail Al Hammadi","United Arab Emirates",24,1.73,68,"M",1988-01-07,"",0,0,0,0,"Football","Men's Football"
"180","Ahmed Al Hatmi","Oman",27,1.7,70,"M",NA,"AL RUSTAQ (OMA)",0,0,0,0,"Shooting","Men's Double Trap"
"181","Ismaeil Matar Al Jneibi","United Arab Emirates",29,1.69,68,"M",1983-07-04,"",0,0,0,0,"Football","Men's Football"
"182","Ahmed Khalil Al Junaibi","United Arab Emirates",21,1.78,75,"M",1991-08-06,"",0,0,0,0,"Football","Men's Football"
"183","Dawoud Sulaiman Al Quiwaitaei","United Arab Emirates",22,1.81,80,"M",NA,"",0,0,0,0,"Football","Men's Football"
"184","Hrh Prince Abdullah Al Saud","Saudi Arabia",27,NA,NA,"M",NA,"London (GBR)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, DAVOS"
"185","Ali Ahmed Al-Amri","Saudi Arabia",27,NA,NA,"M",NA,"Tazzzf (KSA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"186","Rashid Al-Athba","Qatar",31,1.8,104,"M",NA,"Qatar (QAT)",0,0,0,0,"Shooting","Men's Trap, Men's Double Trap"
"187","Nasser Al-Attiya","Qatar",41,1.78,70,"M",NA,"Qatar (QAT)",0,0,1,1,"Shooting","Men's Skeet"
"188","Mohammad Al-Azemi","Kuwait",30,1.87,65,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Athletics","Men's 800m"
"189","Mohanad Ahmed Dheyaa Al-Azzawi","Iraq",15,1.73,65,"M",NA,"BAGHDAD (IRQ)",0,0,0,0,"Swimming","Men's 100m Butterfly"
"190","Sultan Mubarak Al-Dawoodi","Saudi Arabia",35,NA,NA,"M",NA,"Bisha (KSA)",0,0,0,0,"Athletics","Men's Discus Throw"
"191","Mostafa Al-Gamel","Egypt",23,1.91,96,"M",1988-01-10,"GEIZA (EGY)",0,0,0,0,"Athletics","Men's Hammer Throw"
"192","Nabil Mohammed Al-Garbi","Yemen",18,1.75,65,"M",1993-03-11,"DHAMAR (YEM)",0,0,0,0,"Athletics","Men's 1500m"
