book,book_num,chapter,chapter_num,character,full_text,character_words,mention_appa,director,imdb_rating
Water,1,The Boy in the Iceberg,1,Katara,"[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.] I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!","I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[In a screeching voice, his eyes open wide in fear.] Katara, settle down!","Katara, settle down!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"No that's it! I'm done helping you! From now on, you're on your own!","No that's it! I'm done helping you! From now on, you're on your own!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"Okay, you've gone from ""weird"" to ""freakish"", [He releases her.] Katara.","Okay, you've gone from ""weird"" to ""freakish"",  Katara.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Astonished.] You mean I did that?,You mean I did that?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Sarcastically, glancing at her and smirking.] Yep. [Nudging her with his elbow.] Congratulations.",Yep.  Congratulations.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,He's alive! We have to help!,He's alive! We have to help!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"Katara, get back here! [He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.] We don't know what that thing is!","Katara, get back here!  We don't know what that thing is!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,"Finally! [He turns around to face another person in uniform, who sits at a small table.] Uncle, do you realize what this means?!","Finally!  Uncle, do you realize what this means?!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,[The man is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.] I won't get to finish my game?,I won't get to finish my game?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,[Turning around again to face the light.] It means my search is about to come to an end.,It means my search is about to come to an end.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,[Gestures at the light while facing his uncle again.] That light came from an incredibly powerful source! [The light dwindles and disappears.] It has to be him!,That light came from an incredibly powerful source!  It has to be him!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,"[With continuing disinterest and an air of skepticism.] Or it's just the celestial lights. We've been down this road before, Prince Zuko. [He looks at the tile in his hand, depicting the symbol of airbending.] I don't want you to get too excited over nothing. [He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.] Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,"[Furiously, still facing Iroh.] I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!","I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Brandishing his spear in defense once again.] Stop!,Stop!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Waves the spear away. Annoyed.] Stop it!,Stop it!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[In a weak voice.] I need to ask you something ...,I need to ask you something ...,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,What?,What?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,Please ... come closer.,Please ... come closer.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Curiously.] What is it?,What is it?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[In a clear, happy, hopeful tone.] Will you go penguin sledding with me?",Will you go penguin sledding with me?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Awkwardly.] Uh, sure ... I-I guess.","Uh, sure ... I-I guess.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Looking around and rubbing his head, while Katara scrambles on her feet.] What's going on here?",What's going on here?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Aggressively.] You tell us! [Points at the top of the crater.] How did you get in the ice? And why aren't you frozen? [He pokes the boy in his side with his spear.],You tell us!  How did you get in the ice? And why aren't you frozen?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Lazily pushes the spear away.] I'm ... not sure.,I'm ... not sure.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Exclaims happily.] Appa! Are you all right? [He hangs down the side of the beast to look at its eyes, which are still closed.] Wake up, buddy.","Appa! Are you all right?  Wake up, buddy.",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Laughing cheerfully.] Ha, ha! You're okay!","Ha, ha! You're okay!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,What is that thing?,What is that thing?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"This is Appa, my flying bison.","This is Appa, my flying bison.",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Sarcastically.] Right, and this is Katara, my flying sister. [Katara shoots him an odd look.]","Right, and this is Katara, my flying sister.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Cheerfully.] Don't worry, it'll wash out. [Green slime is hanging from Sokka's face to his glove, dripping down as he retracts his hand. Katara covers her mouth in disgust.] So do you guys live around here?","Don't worry, it'll wash out.  So do you guys live around here?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Pointing his spear accusingly again at Aang who is surprised to see the thing.] Don't answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!,Don't answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Pushes Sokka's spear away again and addresses him sarcastically.] Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye. [Aang shoots the two an earnest grin.] The paranoid one is my brother, Sokka. You never told us your name.","Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye.  The paranoid one is my brother, Sokka. You never told us your name.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"I'm A ... a-a-a-Achoo! [The boy sneezes, creating an air blast that sends him soaring into the air. He lands on the ground, unharmed.] I'm Aang. [He sniffles a bit.]",I'm A ... a-a-a-Achoo!  I'm Aang.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Total disbelief.] You just sneezed ... [Points to the sky.] and flew ten feet in the air!,You just sneezed ...  and flew ten feet in the air!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[He looks questioningly toward the sky.] Really? It felt higher than that.,Really? It felt higher than that.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Gasps for air in comprehension.] You're an airbender!,You're an airbender!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,Sure am!,Sure am!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"Giant light beams, flying bison, airbenders ... [Walks away.] I think I got midnight sun madness. I'm going home to where stuff makes sense. [He realizes, however, that he is stranded in the middle of the ocean with no way home.]","Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Well, if you guys are stuck, Appa and I can give you a lift. [Aang airbends himself onto Appa.]","Well, if you guys are stuck, Appa and I can give you a lift.",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,We'd love a ride! Thanks! [Katara runs to the side of the bison.],We'd love a ride! Thanks!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,Oh no! I'm not getting on that fluffy snot monster!,Oh no! I'm not getting on that fluffy snot monster!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[While climbing on top of Appa with the help of Aang.] Are you hoping some other kind of monster will come along and give you a ride home? You know, before you freeze to death?","Are you hoping some other kind of monster will come along and give you a ride home? You know, before you freeze to death?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!","Okay, first time flyers, hold on tight! Appa, yip-yip!",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Come on, Appa. Yip-yip!","Come on, Appa. Yip-yip!",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Sarcastically.] Wow, that was truly amazing ...","Wow, that was truly amazing ...",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Katara shoots her brother an angry glance.] Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see. [Katara smiles at Aang, who returns this gesture. When she wants to move back, she realizes that he is still smiling at her.]",Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.,TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Uncomfortably.] Why are you smiling at me like that?,Why are you smiling at me like that?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Oh, I was smiling? [Surprised, Katara smiles back.]","Oh, I was smiling?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,"I'm going to bed now. [Yawns and stretches.] Yep, a man needs his rest. [After a short pause, he abandons his try at a veiled suggestion and delivers his request more clearly, his tone tired.] Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.","I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.,Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,Hey.,Hey.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,Hey. What'cha thinkin' about?,Hey. What'cha thinkin' about?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?","I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry. [He smiles weakly at Katara.]","Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,Okay. Just curious. [She slants her eyes in disappointment for a second before smiling again at Aang.] Good night.,Okay. Just curious.  Good night.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,Sleep tight.,Sleep tight.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"Aang? Aang! Wake up. [Aang shoots up, throwing the covers of his body and gasping for air. Katara perches beside him and stands up as she sees that Aang is awake.] It's okay, we're in the village now! Come on, get ready. [She points to the door of the tent.] Everyone's waiting to meet you.","Aang? Aang! Wake up.  It's okay, we're in the village now! Come on, get ready.  Everyone's waiting to meet you.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"Aang, this is the entire village. [Points to the line of villagers in front of them.] Entire village, Aang.","Aang, this is the entire village.  Entire village, Aang.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Uncomfortably.] Uh, why are they all looking at me like that? Did Appa sneeze on me?","Uh, why are they all looking at me like that? Did Appa sneeze on me?",TRUE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.","Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Shocked disbelief.] Extinct?,Extinct?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Gesturing.] Aang, this is my grandmother.","Aang, this is my grandmother.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Kanna,Call me Gran-Gran.,Call me Gran-Gran.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Annoyed.] What is this, a weapon? You can't stab anything with this!","What is this, a weapon? You can't stab anything with this!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Aang uses a small air current to get his staff back.] It's not for stabbing! It's for airbending. [He opens his staff into a glider, making Sokka gasp in fright and cover his head with his hands.]",It's not for stabbing! It's for airbending.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Village girl,[Excited.] Magic trick! Do it again!,Magic trick! Do it again!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"Not magic, airbending. [He moves his glider around him, visually demonstrating what he is talking about.] It lets me control the air currents around my glider and fly.","Not magic, airbending.  It lets me control the air currents around my glider and fly.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Mockingly states his disbelief.] Ya know, last time I checked, humans can't fly!","Ya know, last time I checked, humans can't fly!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Accepting Sokka's challenge, smiling.] Check again!",Check again!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Village girl,[In admiration.] He's flying!,He's flying!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Village girl,It's amazing!,It's amazing!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Shocked.] My watchtower!,My watchtower!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Offering her hand to pull him out of the snow.] That was amazing!,That was amazing!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Annoyed.] Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long. [He wedges himself free from underneath the weight of the snow and stalks off.]","Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Surprised and with admiration.] You're a waterbender?,You're a waterbender?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Nervously.] Well, sort of. Not yet.","Well, sort of. Not yet.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Kanna,"All right, no more playing. Come on, Katara, you have chores.","All right, no more playing. Come on, Katara, you have chores.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Excitedly.] I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!","I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Kanna,"[Calmly.] Katara, try not to put all your hopes in this boy.","Katara, try not to put all your hopes in this boy.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,But he's special! I can tell! [Clenches her fist and closes her eyes in hope.] I sense he's filled with much wisdom.,But he's special! I can tell!  I sense he's filled with much wisdom.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Muffled.] See? Now my tongue is stuck to my staff!,See? Now my tongue is stuck to my staff!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,[Sternly.] Again.,Again.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,"[Sighs while he gets up.] No! [Zuko lowers his arms and looks at his uncle.] Power in firebending comes from the breath [Iroh moves his both hand up in front of him to emphasize the breathing motion.], not the muscles. [He stretches his left arm out as if he was sending a fire blast.] The breath becomes energy in the body. The energy extends past your limbs and becomes: fire! [Iroh directs a fire blast at his nephew that evaporates just before it would scorch him.] Get it right this time.","No!  Power in firebending comes from the breath , not the muscles.  The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!  Get it right this time.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,"[With suppressed anger, he walks toward his uncle and addresses him.] Enough! I've been drilling this sequence all day. Teach me the next set! I'm more than ready!",Enough! I've been drilling this sequence all day. Teach me the next set! I'm more than ready!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,"No, you are impatient. [He sits down again on his chair.] You have yet to master your basics. [He yells his order.] Drill it again!","No, you are impatient.  You have yet to master your basics.  Drill it again!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Zuko,"[The suppressed anger is very apparent in his voice.] The sages tell us that the Avatar is the last airbender. [Close-up of Iroh, who does not look pleased with the attitude of his nephew.] He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him. [Starts to yell at his uncle.] You will teach me the advanced set!",The sages tell us that the Avatar is the last airbender.  He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him.  You will teach me the advanced set!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Iroh,"[Concedes reluctantly. On a dire tone.] Very well, [His expression changes completely to one of delight as he picks something up from the ground.] but first, I must finish my roast duck. [He quickly munches down the roast duck, much to the dismay of Zuko.]","Very well,  but first, I must finish my roast duck.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[With a stern expression.] Now men, it's important that you show no fear when you face a firebender. [He brings out his club and holds it proudly.] In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men? [He clutches his fist to emphasize the word ""men"" as he stares down the people in front of him.]","Now men, it's important that you show no fear when you face a firebender.  In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Southern Water Tribe boy,[Waving his hand in the air.] I gotta pee!,I gotta pee!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Angrily.] Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks! [He makes some wide arm gestures to emphasize his words again.]","Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Southern Water Tribe boy,But I really gotta go!,But I really gotta go!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Sighs.] Okay, who else has to go?","Okay, who else has to go?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Runs up to Sokka as the children leave. In a worried tone.] Have you seen Aang? Gran-Gran said he disappeared over an hour ago.,Have you seen Aang? Gran-Gran said he disappeared over an hour ago.,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Amused.] Wow! Everything freezes in there!,Wow! Everything freezes in there!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Annoyed.] Uh! [Angrily points at Aang.] Katara, get him out of here! This lesson is for warriors only!","Uh!  Katara, get him out of here! This lesson is for warriors only!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Village boy,Whee!,Whee!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Yelling angrily.] Stop! Stop it right now! [The laughter of the children is stifled immediately and Appa turns his head to look at Sokka, who accusingly directs his anger to Aang.] What's wrong with you?! We don't have time for fun and games with the War going on!",Stop! Stop it right now!  What's wrong with you?! We don't have time for fun and games with the War going on!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Slides down from Appa's head.] What war? What are you talking about?,What war? What are you talking about?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Raises one eyebrow in disbelief.] You're kidding, right?","You're kidding, right?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,[Exclaims enthusiastically.] Penguin!,Penguin!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"He's kidding, right?","He's kidding, right?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,Aang?,Aang?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Chasing the penguins while laughing.] Hey, come on little guy. Wanna go sledding? [He jumps at a penguin, but the animal evades his attempt and Aang belly flops into the snow. He turns on his back and quickly erects himself with his airbending as Katara comes up beside him.] Heh heh. I have a way with animals.","Hey, come on little guy. Wanna go sledding?  Heh heh. I have a way with animals.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Amused.] Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending.","Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Aang,"[Having grabbed the tail of a penguin, he holds on as it pulls him through the snow for a short way before letting go and looking up at Katara.] You got a deal! Just one little problem ... [He airbends himself into a sitting position.] I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?","You got a deal! Just one little problem ...  I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Sadly.] No. You're looking at the only waterbender in the whole South Pole.,No. You're looking at the only waterbender in the whole South Pole.,FALSE,Dave Filoni,8.1
