total_cup_points,species,owner,country_of_origin,farm_name,mill,company,altitude,region,producer,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
88.08,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,NA,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,METAD Agricultural Development plc,2014,"March 27th, 2015",NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,0,NA,1,"March 26th, 2016",METAD Agricultural Development plc,m,1855,1955,1905
87.92,Arabica,cqi q coffee sample representative,United States,el filo,NA,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jesús López Pérez,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,0,NA,0,"March 12th, 2016",Almacafé,m,1872,1872,1872
87.92,Arabica,cqi q coffee sample representative,United States,los cedros,NA,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,0,NA,0,"March 12th, 2016",Almacafé,m,1943,1943,1943
87.92,Arabica,grounds for health admin,United States (Hawaii),arianna farms,NA,NA,2000 ft,kona,"Robert, Sharon, Arianna Wood",Specialty Coffee Association,Sept 2009 - April 2010,"May 31st, 2010",NA,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,0,0,NA,2,"May 31st, 2011",Specialty Coffee Association,ft,609.6,609.6,609.6
87.83,Arabica,ethiopia commodity exchange,Ethiopia,aolme,c.p.w.e,NA,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,Mar-10,"August 31st, 2010",NA,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,0,0,NA,2,"August 31st, 2011",Ethiopia Commodity Exchange,m,1570,1700,1635
87.58,Arabica,cqi q coffee sample representative,United States,el águila,NA,coffee quality institute,meters above sea level: 2.080,antioquia,María Leticia Diosa,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,0,NA,0,"March 12th, 2016",Almacafé,m,2080,2080,2080
87.42,Arabica,grounds for health admin,Indonesia,toarco jaya,NA,NA,1200-1800m,sulawesi,P.T. Toarco Jaya,Specialty Coffee Association,May-August,"May 31st, 2010",NA,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,0,0,NA,0,"May 31st, 2011",Specialty Coffee Association,m,1200,1800,1500
87.33,Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,NA,NA,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",NA,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,0,0,NA,2,"June 16th, 2011",Ethiopia Commodity Exchange,m,NA,NA,NA
87.25,Arabica,yunnan coffee exchange,China,echo coffee,echo coffee mill,yunnan coffee exchange,1450,yunnan,Echo Coffee,Yunnan Coffee Exchange,2015,"April 7th, 2016",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,0,Green,0,"April 7th, 2017",Yunnan Coffee Exchange,m,1450,1450,1450
87.25,Arabica,essencecoffee,Ethiopia,drima zede,drima zede,essence coffee,1700-2000m,gedio,LevelUp,Blossom Valley International,2014,"March 25th, 2015",Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,0,NA,8,"March 24th, 2016",Blossom Valley International,m,1700,2000,1850
87.25,Arabica,cqi q coffee sample representative,United States,el rodeo,NA,coffee quality institute,meters above sea level: 2.019,antioquia,Nicolás Rueda Urrego,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,0,None,0,"March 12th, 2016",Almacafé,m,2019,2019,2019
87.17,Arabica,the coffee source inc.,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,1300 msnm,san ramon,SEVERAL,Specialty Coffee Association,2014,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,0,Green,2,"April 2nd, 2015",Specialty Coffee Association,m,1300,1300,1300
87.17,Arabica,roberto licona franco,Mexico,la herradura,la herradura,NA,1320,xalapa,ROBERTO LICONA FRANCO,AMECAFE,2012,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,0,Green,0,"July 26th, 2013",AMECAFE,m,1320,1320,1320
87.08,Arabica,cqi q coffee sample representative,United States,la curva,NA,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,0,NA,0,"March 12th, 2016",Almacafé,m,2112,2112,2112
87.08,Arabica,ji-ae ahn,Ethiopia,NA,NA,NA,NA,sidamo,NA,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,NA,NA,NA
86.92,Arabica,nucoffee,Brazil,fazenda kaquend,NA,nucoffee,1250m,south of minas,Ralph Junqueira,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,0,Green,2,"December 2nd, 2012",NUCOFFEE,m,1250,1250,1250
86.92,Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,NA,NA,sidamo,Green Gold Ethiopia | Phone: 0114342032,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",NA,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,0,0,NA,2,"June 16th, 2011",Ethiopia Commodity Exchange,m,NA,NA,NA
86.83,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,kabum trading company,kabum trading company,1950,kapchorwa eastern,Kabum trading company,Uganda Coffee Development Authority,2013,"June 26th, 2014",SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,0,Green,1,"June 26th, 2015",Uganda Coffee Development Authority,m,1950,1950,1950
86.67,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,Instituto Hondureño del Café,2016,"May 18th, 2017",Caturra,NA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,0,0,Green,3,"May 18th, 2018",Instituto Hondureño del Café,m,1400,1400,1400
86.58,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,tsoustructive garden 鄒築園,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",Specialty Coffee Association,2015,"May 18th, 2016",Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,0,Green,0,"May 18th, 2017",Specialty Coffee Association,m,1200,1200,1200
86.58,Arabica,nora zeas,Nicaragua,NA,beneficio atlantic condega,NA,NA,NA,NA,Specialty Coffee Association,NA,"May 18th, 2010",NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,0,0,NA,2,"May 18th, 2011",Specialty Coffee Association,m,NA,NA,NA
86.5,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",NA,NA,NA,NA,NA,NA,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,NA,NA,NA
86.42,Arabica,nucoffee,Brazil,fazenda recreio,NA,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,0,Green,2,"December 2nd, 2012",NUCOFFEE,m,1300,1300,1300
86.33,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,"exclusive coffees s.a,",exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,0,Blue-Green,0,"December 2nd, 2016",Specialty Coffee Association of Costa Rica,m,1300,1300,1300
86.25,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,faysal abamecha processing plant at yebu town,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,METAD Agricultural Development plc,2014,"March 27th, 2015",NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,0,Green,3,"March 26th, 2016",METAD Agricultural Development plc,m,1750,1800,1775
86.25,Arabica,daniel magu,Kenya,kangunu,central kenya coffee mills,c dorman ltd,1800,muranga,Kangunu,Kenya Coffee Traders Association,2013,"May 30th, 2014",SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,0,Blue-Green,1,"May 30th, 2015",Kenya Coffee Traders Association,m,1800,1800,1800
86.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,1,0,NA,4,"April 6th, 2013",Specialty Coffee Association,ft,NA,NA,NA
86.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,NA,NA,NA,kona,Kona Pacific Farmers Co-Op,Specialty Coffee Association,2010,"January 28th, 2011",NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,2,0,NA,1,"January 28th, 2012",Specialty Coffee Association,ft,NA,NA,NA
86.25,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",NA,NA,NA,yirgacheffe,Contact name | ATO Teshome Belamo,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",NA,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,0,0,NA,2,"June 17th, 2011",Ethiopia Commodity Exchange,m,NA,NA,NA
86.17,Arabica,cqi q coffee sample representative,United States,la primavera,NA,coffee quality institute,meters above sea level: 1.941,antioquia,Hugo Sepúlveda Montoya,Almacafé,2014,"March 13th, 2015",Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,0,NA,0,"March 12th, 2016",Almacafé,m,1941,1941,1941
86.17,Arabica,itdp international,Thailand,co-op #12,NA,lanna cafe,1300,chiang rai,ITDP,Specialty Coffee Association,2012,"April 12th, 2012",Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,1,0,Green,9,"April 12th, 2013",Specialty Coffee Association,m,1300,1300,1300
86.17,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,cocarive,NA,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,Specialty Coffee Association,2010,"January 4th, 2011",Yellow Bourbon,NA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,0,0,NA,2,"January 4th, 2012",Specialty Coffee Association,m,12,12,12
86.17,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,cocarive,NA,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,Specialty Coffee Association,2010,"January 4th, 2011",Yellow Bourbon,NA,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,0,0,NA,3,"January 4th, 2012",Specialty Coffee Association,m,12,12,12
86.08,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,Specialty Coffee Association,2015,"June 10th, 2015",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,0,0,Green,0,"June 9th, 2016",Specialty Coffee Association,m,1000,1000,1000
86.08,Arabica,jungle estate,Kenya,jungle estate,nkg coffee mills,keremara limited,1754,nyeri,JUNGLE ESTATE,Kenya Coffee Traders Association,2014,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,0,Bluish-Green,2,"January 29th, 2016",Kenya Coffee Traders Association,m,1754,1754,1754
86.08,Arabica,nucoffee,Brazil,fazenda kaquend,NA,nucoffee,1250m,south of minas,Ralph Junqueira,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,0,Blue-Green,2,"December 2nd, 2012",NUCOFFEE,m,1250,1250,1250
86,Arabica,great lakes coffee uganda,Uganda,kaasayi,great lakes coffee,ucda,NA,eastern uganda,Kaasay Farmer Group,Uganda Coffee Development Authority,2014,"October 1st, 2014",NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,0,NA,0,"October 1st, 2015",Uganda Coffee Development Authority,m,NA,NA,NA
86,Arabica,lusso lab,Colombia,ecobio colombia,NA,lusso coffee lab,900-1500m,tolima,NA,Specialty Coffee Association,2013,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,1,0,Green,1,"March 20th, 2015",Specialty Coffee Association,m,900,1500,1200
86,Arabica,lusso lab,Kenya,kianjavi,NA,lusso coffee lab,1520m-2200m,kiambu,NA,Specialty Coffee Association,2013,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,0,Green,1,"February 6th, 2015",Specialty Coffee Association,m,1520,2200,1860
86,Arabica,afca,Uganda,NA,NA,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Kawacom,Africa Fine Coffee Association,2012,"February 13th, 2012",Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,0,Blue-Green,0,"February 12th, 2013",Africa Fine Coffee Association,m,1400,1900,1650
86,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,coffee processing and warehouse enterpri,NA,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",NA,NA,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,0,0,NA,4,"June 17th, 2011",Ethiopia Commodity Exchange,m,1500,2000,1750
86,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,NA,NA,1400ft,kona,Hula Daddy Kona Coffee,Specialty Coffee Association,Fall 2009,"May 31st, 2010",NA,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,0,0,NA,0,"May 31st, 2011",Specialty Coffee Association,ft,426.72,426.72,426.72
85.92,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,beneficio ixchel,"unex guatemala, s.a.",NA,nuevo oriente,MARGARITA AVILA DE NUYENS,Asociacion Nacional Del Café,2016,"May 16th, 2016",Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,0,1,Green,3,"May 16th, 2017",Asociacion Nacional Del Café,m,NA,NA,NA
85.92,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,kawacom,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,Uganda Coffee Development Authority,2013,"June 30th, 2014",SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,0,Green,0,"June 30th, 2015",Uganda Coffee Development Authority,m,1400,1900,1650
85.92,Arabica,exportadora de cafe condor s.a,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,1800 msnm,huila,NA,Almacafé,2013,"July 26th, 2013",Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,0,1,0,Blue-Green,0,"July 26th, 2014",Almacafé,m,1800,1800,1800
85.83,Arabica,gonzalo hernandez,Panama,la berlina estate,beneficio casa ruiz s.a.,ce specialty s.a.,1600,boquete,Plinio Ruiz,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,0,1,Bluish-Green,0,"October 9th, 2018",Specialty Coffee Association of Costa Rica,m,1600,1600,1600
85.83,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,NA,burka gudina,ibrahim hussien specality coffee product & exporter,1800-2000,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,METAD Agricultural Development plc,2014,"April 4th, 2015",NA,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,0,Green,4,"April 3rd, 2016",METAD Agricultural Development plc,m,1800,2000,1900
85.83,Arabica,juan luis alvarado romero,Guatemala,valparaiso,beneficio valparaiso,sertrasa,5000,acatenango,SERTRASA,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,0,Green,3,"July 3rd, 2013",Asociacion Nacional Del Café,ft,1524,1524,1524
85.83,Arabica,juan luis alvarado romero,Guatemala,finca el limon,beneficio serben,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,Asociacion Nacional Del Café,2012,"June 5th, 2012",Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,0,Bluish-Green,1,"June 5th, 2013",Asociacion Nacional Del Café,ft,1417.32,1417.32,1417.32
85.75,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,seid damtew coffee export and plantation,seid damtew coffee planation,NA,addis ababa,seid damtew coffee export and plantation,METAD Agricultural Development plc,2017,"June 23rd, 2017",Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,0,4,None,7,"June 23rd, 2018",METAD Agricultural Development plc,m,NA,NA,NA
85.75,Arabica,dane loraas,Peru,NA,NA,sustainable harvest,NA,cajamarca,NA,Specialty Coffee Association,2013,"January 22nd, 2014",NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,4,0,Green,6,"January 22nd, 2015",Specialty Coffee Association,m,NA,NA,NA
85.75,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,baroida,cqi,1700 mts,eastern highlands province,"Colbran CoffeeLands, Ltd.",Specialty Coffee Association,2012,"October 25th, 2012",NA,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,0,0,Bluish-Green,1,"October 25th, 2013",Specialty Coffee Association,m,1700,1700,1700
85.58,Arabica,atlantic specialty coffee,El Salvador,el majahual,j. hill y cia,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,Specialty Coffee Association,2013,"March 18th, 2013",Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,0,0,Blue-Green,3,"March 18th, 2014",Specialty Coffee Association,m,1500,1500,1500
85.58,Arabica,lusso lab,El Salvador,finca la esmeralda,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,Specialty Coffee Association,2012,"January 12th, 2013",Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,0,0,None,0,"January 12th, 2014",Specialty Coffee Association,m,1300,1400,1350
85.58,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,0,0,NA,1,"April 6th, 2013",Specialty Coffee Association,ft,NA,NA,NA
85.5,Arabica,essencecoffee,Panama,elida estate,elida estate,essence coffee,1680,boquete,Lamastus,Blossom Valley International,2014,"May 23rd, 2015",Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,2,0,NA,2,"May 22nd, 2016",Blossom Valley International,m,1680,1680,1680
85.5,Arabica,essencecoffee,Kenya,inoi,inoi,essence coffee,1900m,kirinyaga,NA,Blossom Valley International,2014,"May 23rd, 2015",SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,0,0,Green,3,"May 22nd, 2016",Blossom Valley International,m,1900,1900,1900
85.5,Arabica,assefa belay coffee producer,Ethiopia,NA,NA,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,METAD Agricultural Development plc,2015,"March 31st, 2015",Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,0,0,Green,7,"March 30th, 2016",METAD Agricultural Development plc,m,1800,2000,1900
85.5,Arabica,kyagalanyi ltd,Uganda,buginyanya,kyagalanyi coffee ltd,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,Uganda Coffee Development Authority,2013,"June 26th, 2014",SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,0,0,Green,1,"June 26th, 2015",Uganda Coffee Development Authority,m,1600,1600,1600
85.5,Arabica,juan luis alvarado romero,Guatemala,asoperc,beneficio exportacafe agua santa,exportcafe,5600-5760 metros,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),Asociacion Nacional Del Café,2013,"February 26th, 2013",Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,0,0,Green,1,"February 26th, 2014",Asociacion Nacional Del Café,ft,1706.88,1755.648,1731.264
85.42,Arabica,assefa belay coffee producer,Ethiopia,NA,NA,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,METAD Agricultural Development plc,2015,"March 31st, 2015",NA,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,0,0,Green,18,"March 30th, 2016",METAD Agricultural Development plc,m,1800,2000,1900
85.42,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,great lakes coffee,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,Uganda Coffee Development Authority,2013,"June 26th, 2014",SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,0,0,Green,5,"June 26th, 2015",Uganda Coffee Development Authority,m,1950,1950,1950
85.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,kona pacific farmers cooperative,NA,kona,NA,Specialty Coffee Association,2012,"April 6th, 2012",Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,4,0,NA,6,"April 6th, 2013",Specialty Coffee Association,ft,NA,NA,NA
